ntcse,uunn,amt,direccion,wgsy,wgsx
I408036,HUANUCO,A4252,SECC: I408036,-9.922772895,-76.24428771
I408019,HUANUCO,A4252,E420003,-9.931057928,-76.24386993
I408020,HUANUCO,A4252,HACIA EL 420603,-9.931240502,-76.24345238
I408021,HUANUCO,A4252,A BANCO CREDITO,-9.931268294,-76.24343533
I408032,HUANUCO,A4253,ALAMEDA DE LA REPUBLICA,-9.922118731,-76.2408162
I408034,HUANUCO,A4253,Interior de E420017,-9.921964232,-76.24058691
I408012,HUANUCO,A4258,SECC: I408012,-9.937550088,-76.23958011
I408042,HUANUCO,A4252,HOSPITAL HUANUCO,-9.928605228,-76.23736679
I408048,HUANUCO,A4253,EN E420018,-9.92371657,-76.23800051
I408049,HUANUCO,A4253,EN E420018,-9.923628267,-76.23797903
I408050,HUANUCO,A4253,CIRCUNVALACION,-9.916186299,-76.23826614
I408062,HUANUCO,A4254,SE REEMPLAZO FUSIBLES EN 2 FASES DE 6A 29/01/08,-9.910173939,-76.23211544
I408066,HUANUCO,A4254,DERIVACION COLPA BAJA,-9.89684157,-76.2240642
I408068,HUANUCO,A4254,Cambio de fusible de 6Amp x  6Amp fase R 13/10/09,-9.894222892,-76.22107992
I408254,HUANUCO,A4254,CARRETERA CENTRAL-SAN ANDRES,-9.888122457,-76.20699902
I408073,HUANUCO,A4251,SECC: I408073,-9.939079374,-76.24388744
I408092,HUANUCO,A4266,CAYHUAYNA,-9.955807282,-76.24856845
I408154,HUANUCO,A4257,SECC: I408154,-10.09624184,-76.21187189
I408136,HUANUCO,A4260,I408136,-9.874318361,-76.17901162
I408142,HUANUCO,A4259,DERIVACION A TAMBILLO,-9.864441925,-76.04488267
I408146,HUANUCO,A4260,SECC: I408146,-9.796948751,-75.99683659
I408149,HUANUCO,A4260,DERIVACION A TULLCA,-9.774629165,-76.08589324
I408150,HUANUCO,A4260,LINEA A MAYOBAMBA,-9.77190587,-76.08560374
I408121,HUANUCO,A4272,DERIVACION CHORAS,-9.873527708,-76.59613354
I408083,HUANUCO,A4256,E420007,-9.935542433,-76.24805185
I408137,HUANUCO,A4260,DERIVACION TARUCA,-9.853649508,-76.14969301
I408003,HUANUCO,A4251,SECC: I408003,-9.937447512,-76.23964382
I408004,HUANUCO,A4252,SECC: I408004,-9.937120081,-76.23940755
I408156,HUANUCO,A4256,DERIVACION SEDA HUANUCO,-9.926567819,-76.24821162
I408152,HUANUCO,A4256,JR. MAYRO - E420005,-9.931599328,-76.24883527
I408116,HUANUCO,A4258,SECC: I408116,-9.919803359,-76.31153437
I408079,HUANUCO,A4251,ZONA CERO,-9.946438666,-76.24747899
I408080,HUANUCO,A4251,SECC: I408080,-9.948054534,-76.24704125
I408099,HUANUCO,A4257,SECC: I408099,-9.980818325,-76.24486789
I408109,HUANUCO,A4257,DERIVACION TOMAYQUICHUA,-10.07806917,-76.21483896
I408153,HUANUCO,A4256,JR AYACUCHO C-1,-9.928584469,-76.2479358
I408163,HUANUCO,A4254,HUAYOPAMPA - AGROIND. DE ALIMENTOS BRANGGI,-9.909817755,-76.23243273
I408013,HUANUCO,A4259,SECC: I408013,-9.937529937,-76.23957018
I408014,HUANUCO,A4260,SECC: I408014,-9.937523138,-76.23956737
I408011,HUANUCO,A4257,SECC: I408011,-9.937537486,-76.2395743
I408008,HUANUCO,A4254,SECC: I408008,-9.937453024,-76.23962899
I408111,HUANUCO,A4257,Recloser Troncal ISCO,-10.13330078,-76.19799208
I408115,HUANUCO,A4258,DERIVACION GRITO RAULITO,-9.934317671,-76.2687455
I408131,HUANUCO,A4259,SECC: I408131,-9.945349806,-76.03630445
I408132,HUANUCO,A4259,SECC: I408132,-9.912214311,-76.01482083
I408135,HUANUCO,A4259,CHAGLLA,-9.851416748,-75.90882975
I408141,HUANUCO,A4260,DERIVACION A LA PUNTA,-9.819654188,-76.06665227
I408147,HUANUCO,A4260,DERIVACION PACHACHUPAN,-9.795237898,-76.0781705
I408148,HUANUCO,A4260,DERIVACION PACHACHUPAN,-9.789918003,-76.08284392
I408027,HUANUCO,A4252,E420014,-9.927923968,-76.24189371
I408171,HUANUCO,A4258,MARGOS,-9.997310104,-76.48636778
I408187,HUANUCO,A4268,CHUQUIS - DERIVACION A SILLAPATA,-9.67712465,-76.70831733
I408189,HUANUCO,A4268,LINEA A PACHAS,-9.708780547,-76.76505108
I408194,HUANUCO,A4271,DERIVACION LLATA,-9.545114269,-76.8174488
I408197,HUANUCO,A4271,LINEA A PUNCHAO,-9.446486641,-76.8025807
I408177,HUANUCO,A4272,DERIVACION CARAMARCA,-9.932725062,-76.62846461
I408178,HUANUCO,A4272,DERIVACION COSMA,-9.964124852,-76.64903008
I408180,HUANUCO,A4272,LINEA A BAÑOS,-9.982090185,-76.67699717
I408199,HUANUCO,A4260,DERIVACION NUEVA INDEPENDENCIA,-9.788576054,-76.06359715
I408202,HUANUCO,A4259,DERIVACION A CHACHASPATA,-9.864663943,-76.04500722
I408159,HUANUCO,A4256,NORMALMENTE ABIERTO,-9.939724704,-76.25380918
I408206,HUANUCO,A4254,TRONCAL LOS PORTALES,-9.918423213,-76.23139158
I408208,HUANUCO,A4254,Sin Pararrayos,-9.910070139,-76.23445106
I408209,HUANUCO,A4254,SECC: I408209,-9.925853591,-76.23034218
I408210,HUANUCO,A4254,DERIVACION PEDRO HUILCA,-9.93325058,-76.23490591
I408213,HUANUCO,A4251,PREDIO EL TINGO,-9.940302733,-76.25431202
I408214,HUANUCO,A4266,A SR. DE BURGOS,-9.944389451,-76.25318395
I408217,HUANUCO,A4266,DERIVACION A LAS PALMERAS,-9.956756224,-76.25015479
I408222,HUANUCO,A4266,A CAYHUAYNA BAJA,-9.958798353,-76.24499577
I408225,HUANUCO,A4266,CAYHUAYNA,-9.961464889,-76.24892287
I408229,HUANUCO,A4258,DERIVACION A YACUTOMA,-9.933079254,-76.2718594
I408231,HUANUCO,A4258,SECC: I408231,-9.928102361,-76.28077582
I408232,HUANUCO,A4258,SECC: I408232,-9.930411692,-76.27687611
I408233,HUANUCO,A4258,SECC: I408233,-9.943729721,-76.26011945
I408300,HUANUCO,A4266,OM-0450002048,-9.969269375,-76.2437432
I408236,HUANUCO,A4252,SECC: I408236,-9.928975094,-76.23866869
I408140,HUANUCO,A4260,SECC: I408140,-9.841790368,-76.12493979
I408238,HUANUCO,A4253,DERIVACION  ANTENA RADIO ONDAS DEL HUALLAGA,-9.913715711,-76.2395813
I408261,HUANUCO,A4260,DERIVACION EL RANCHO,-9.832324633,-76.09337826
I408144,HUANUCO,A4260,SECC: I408144,-9.798464921,-76.07621147
I408072,HUANUCO,A4251,SECC: I408072,-9.939217582,-76.24383971
I408071,HUANUCO,A4251,JR. 9 DE OCTUBRE,-9.939697325,-76.24104709
I408130,HUANUCO,A4259,DERIVACION A MANZANO,-9.963364527,-76.05009082
I408133,HUANUCO,A4259,SECC: I408133,-9.89470322,-75.99607231
I408239,HUANUCO,A4252,DERIVACION TIM,-9.920899966,-76.24652391
I408026,HUANUCO,A4252,E420014,-9.927900831,-76.24186741
I408037,HUANUCO,A4252,HACIA E420040,-9.9219232,-76.24389351
I408176,HUANUCO,A4272,SECC: I408176,-9.87867923,-76.59425911
I408179,HUANUCO,A4272,DERIVACION HUARIN,-9.975781957,-76.67320287
I408198,HUANUCO,A4272,SECC: I408198,-10.07614746,-76.63435909
I408029,HUANUCO,A4252,se reemplazò 2 fusibles NH de 106x160A,-9.926521851,-76.24379429
I408234,HUANUCO,A4254,SECC: I408234,-9.90870573,-76.22753344
I408264,HUANUCO,A4254,DERIVACION JANCAO ALTO,-9.900021285,-76.22471093
I408164,HUANUCO,A4260,SECC: I408164,-9.867982151,-76.17863245
I408057,HUANUCO,A4254,SECC: I408057,-9.922013619,-76.23191645
I408207,HUANUCO,A4254,SECC: I408207,-9.923153682,-76.22944941
I408112,HUANUCO,A4257,DERIVACION HUAYLLA,-10.15164066,-76.19049299
I408223,HUANUCO,A4266,DERIVACION E420500,-9.959959275,-76.24374646
I408226,HUANUCO,A4266,DERIVACION A LOS OLIVOS,-9.962663848,-76.24579772
I408227,HUANUCO,A4266,DERIVACION A LOS OLIVOS,-9.963094105,-76.2453485
I408245,HUANUCO,A4266,SECC: I408245,-9.966969947,-76.24742762
I408096,HUANUCO,A4257,Poste sin seccionador 20/2/10,-9.980625005,-76.25877463
I408097,HUANUCO,A4257,DERIVA A HUAYLLABAMBA ALTA,-9.976325963,-76.27043737
I408110,HUANUCO,A4257,SECC: I408110,-10.1153206,-76.20827757
I408102,HUANUCO,A4257,DERIVA A ÑAUSILLA BAJA,-10.04293914,-76.2364012
I408203,HUANUCO,A4257,DERIVACION PEAJE AMBO,-10.14120031,-76.19635728
I408240,HUANUCO,A4257,DERIVA A LAS PAMPAS,-10.04365072,-76.2215711
I408258,HUANUCO,A4255,Av. Perú,-9.937405675,-76.23842376
I408257,HUANUCO,A4255,SECC: I408257,-9.93820295,-76.23884357
I408268,HUANUCO,A4270,SECC: I408268,-9.821695914,-76.80212558
I408175,HUANUCO,A4272,RECLOSER RAIN-BAÑOS,-9.816814793,-76.64094474
I408185,HUANUCO,A4268,RECLOSER RAIN-LLATA,-9.814367256,-76.64213531
I408186,HUANUCO,A4268,TRONCAL CRUZPAMPA,-9.71472156,-76.66375824
I408260,HUANUCO,A4254,DERIVACION FULGAS,-9.904791281,-76.2272413
I408269,HUANUCO,A4271,SECC: I408269,-9.588373115,-76.73226376
I408270,HUANUCO,A4271,SECC: I408270,-9.605611942,-76.72015261
I408016,HUANUCO,A4252,E420002,-9.933026107,-76.24053911
I408031,HUANUCO,A4252,SECC: I408031,-9.924514264,-76.24243206
I408173,HUANUCO,A4268,SECC: I408173,-9.816383147,-76.64149575
I408282,HUANUCO,A4252,AGUILAR-SAN MARTIN,-9.930642741,-76.24638734
I408283,HUANUCO,A4256,SECC: I408283,-9.929713823,-76.24784519
