ntcse,uunn,amt,direccion,wgsy,wgsx
E451011,HUANUCO,A4251,SD,-9.945040295,-76.24160701
E450991,HUANUCO,A4271,QUEROSH VIETEL,-9.517911353,-76.79970238
E451016,HUANUCO,A4257,COCHATAMA,-10.13119499,-76.24127153
E421514,HUANUCO,A4268,TUNYA CA - CARRETERA TUNYA,-9.752931285,-76.78913128
E450249,HUANUCO,A4252,JR - JIRÓN JIRON AYACUCHO,-9.932176222,-76.2418881
E450251,HUANUCO,A4252,JR - JIRÓN JIRON INDEPENDENCIA,-9.922022884,-76.24378803
E450250,HUANUCO,A4256,JR - JIRÓN JIRON VIÑA DEL RIO,-9.939918425,-76.25153107
E450253,HUANUCO,A4257,CA - CARRETERA CARRETERA CENTRAL,-10.00138035,-76.24003196
E450268,HUANUCO,A4258,CHANCADORA DE AZUFRE HUANCAPALLAC CA - CARRETERA CARRETERA A HUANUCO,-9.923270791,-76.35157741
E450258,HUANUCO,A4266,CAYHUAYNA-PILLCOMARMA CA - CARRETERA CAYHUAYNA-PILLCOMARMA,-9.964286962,-76.24748997
E450254,HUANUCO,A4266,CAYHUAYNA-PILLCOMARCA CA - CARRETERA CAYHUAYNA-PILLCOMARCA,-9.962113018,-76.24773037
E450260,HUANUCO,A4266,CAYHUAYNA-PILLCOMARCA CL - CALLE CALLE LOS SAUCES,-9.957545273,-76.25004135
E421130,HUANUCO,A4258,RUNTOG JR - JIRÓN CENTENARIO,-10.06831515,-76.46134298
E420325,HUANUCO,A4257,ÑAUSILLA BAJA CA - CARRETERA CARRETERA A ÑAUZA,-10.04284704,-76.23716953
E420311,HUANUCO,A4257,BO - BARRIO ÑAUZA - PL - PLAZA PLAZA PRINCIPAL ÑAUZA,-10.0765042,-76.29016046
E420013,HUANUCO,A4252,CO - CONJUNTO HABITACIONAL CIUDAD HUANUCO CL - CALLE DAMASO BERAUN C-08,-9.929973318,-76.23953647
E420237,HUANUCO,A4260,PACAPUCRO CL - CALLE CARRETERA A PACAPUCRO,-9.839792059,-76.14072422
E420238,HUANUCO,A4260,CD - CIUDADELA PEAJE MTC   CHULQUI CA - CARRETERA CARRETERA CENTRAL,-9.83897984,-76.12436126
E420239,HUANUCO,A4260,CHULQUI CL - CALLE CHULQUI,-9.83891125,-76.11799157
E420243,HUANUCO,A4259,"TAMBILLO  Mz. ""A""   lote  127 CA - CARRETERA CARRETERA  A PANAOTAMBILLO  Mz. ""A""   lote  127",-9.865228052,-76.04475721
E420244,HUANUCO,A4259,LA PUNTA carretera a PANAO CA - CARRETERA LA PUNTA carretera a PANAO,-9.872067564,-76.02792095
